Job_Title,Salary_Estimate,Rating,Company_Name,Location,Headquarters,Size,Type_of_Ownership,Industry,Sector,Revenue,Easy_Apply,Job_Description,Skills,Min_Salary,Max_Salary,Avg_Salary,Date
Senior Data Analyst,$63K-$89K,,HealthSense,"San Francisco, CA","Chennai, TN",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Research,<1M,No,Science attorney audience. Upon mention city need. Concern else far job land teach everyone.,Statistics;Spark;AWS;Deep Learning;R,63000,89000,76000,2025-06-04
Data Scientist,$34K-$42K,,TechPulse,"Hyderabad, TS","Bengaluru, KA",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,10M-100M,No,Before general bed building because cell example. Policy mind lawyer throw stay. Or up prove necessary too.,PowerBI;Tableau;AWS;Statistics,34000,42000,38000,2023-03-03
BI Analyst,$59K-$86K,,BioStats,"Mumbai, MH","Bengaluru, KA",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Product,1M-10M,Yes,Reason forget fact common. Beyond local food education. Season expert end. Enter city establish popular.,NLP;Git;Deep Learning;AWS,59000,86000,72500,2023-10-16
Data Analyst,$38K-$67K,3.4,TechPulse,"Bengaluru, KA","Pune, MH",201-1000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Product,100M-1B,Yes,Gas our dinner approach north state without. Stuff anyone speak health product son see town. We small song seek.,NLP;Statistics,38000,67000,52500,2019-07-28
Research Analyst,$59K-$95K,3.9,BioStats,"Mumbai, MH","Mumbai, MH",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Biotech,Product,10M-100M,No,Develop less our technology again decade social voice. Moment me democratic network worry. Hour important although character parent member three.,AWS;SQL;Git;Python;Statistics,59000,95000,77000,2024-01-20
Research Analyst,$84K-$140K,,HealthSense,"Delhi, DL","Mumbai, MH",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Business Intelligence,100M-1B,Yes,Mission president almost here understand. Billion find name north cause this risk. Mention skin open bill skin near.,NLP;Spark;Deep Learning;Python,84000,140000,112000,2019-06-09
Data Scientist,$76K-$123K,4.0,DataWorks,"Mumbai, MH","New York, NY",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Retail,Product,10M-100M,Yes,Run follow past resource plant sometimes. Person seven expect political great.,Git;Excel;Deep Learning;Statistics;SQL,76000,123000,99500,2025-01-07
Data Scientist,$43K-$99K,,Insightify,"Hyderabad, TS","Hyderabad, TS",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Product,>1B,No,Generation feel couple near. Age one population wish.,R;Deep Learning;AWS,43000,99000,71000,2020-01-26
Research Analyst,$87K-$129K,4.3,AnalyticaX,"Delhi, DL","Chennai, TN",5000+,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Data Science,<1M,Yes,Before democratic including effect several. Apply laugh mouth natural item. Candidate first something.,PowerBI;Statistics;Python;Tableau;Spark,87000,129000,108000,2020-01-02
Data Analyst,$86K-$94K,,TechPulse,"New York, NY","Hyderabad, TS",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Consulting,Business Intelligence,10M-100M,No,Wall life professor would. Need cell style half.,Deep Learning;NLP,86000,94000,90000,2017-06-15
Data Analyst,$33K-$61K,3.0,TechPulse,"Chennai, TN","Delhi, DL",51-200,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Education,Business Intelligence,100M-1B,No,Role number fear analysis. Lose cultural how. Traditional science type director.,SQL;Statistics;Excel;PowerBI;Spark;Python,33000,61000,47000,2021-03-09
BI Analyst,$42K-$67K,3.0,DataWorks,"Hyderabad, TS","Pune, MH",1-50,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Finance,Research,<1M,Yes,Fire although tax suggest. Box six three find. Walk scientist so policy you along.,Deep Learning;SQL;Python;Statistics;AWS;NLP,42000,67000,54500,2020-10-20
Research Analyst,$68K-$87K,3.5,TechPulse,"San Francisco, CA","New York, NY",1001-5000,"['Private', 'Public', 'Subsidiary', 'Non-profit']",Healthcare,Data Science,100M-1B,No,Message should role any many fall positive. Water reach firm law eat force. Many represent discover.,Excel;R;NLP;Spark;Git;SQL,68000,87000,77500,2020-07-10
